P1xpos,P1ypos,P1zpos,P1Heading,Targetxpos,Targetypos,Targetzpos,O1xpos,O1ypos,O1zpos,O2xpos,O2ypos,O2zpos,O3xpos,O3ypos,O3zpos,O4xpos,O4ypos,O4zpos,O5xpos,O5ypos,O5zpos,O6xpos,O6ypos,O6zpos,O7xpos,O7ypos,O7zpos,O8xpos,O8ypos,O8zpos,Space,LeftArrow,RightArrow,targethit,trialtime
-16,1.1,5,-1.192093E-07,16,1,-12,2.86,1,4.7,-8.2,1,-4.94,-7.53,1,8.85,7.95,1,-10.92,6.96,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,37.92
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,37.94
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,37.96
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,37.98
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,38
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,38.02
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,38.04
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,38.06
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,38.08
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,38.1
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,True,False,False,None,38.12
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.14
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.16
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.18
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.2
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.22
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.24
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.26
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.28
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.3
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.32
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.34
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.36
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.38
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.4
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.42
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.44
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.46
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.48
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.5
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.52
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.54
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.56
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.58
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.6
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.62
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.64
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.66
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.68
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.7
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.72
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.74
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.76
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.78
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.8
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.82
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.84
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.86
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.88
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.9
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.92
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.94
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.96
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,38.98
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,39
-16,1.1,5,-1.192093E-07,16,1,-12,2.860001,1,4.7,-8.200001,1,-4.94,-7.530001,1,8.85,7.950001,1,-10.92,6.959999,1,5.61,-9.33,1,11.82,6.76,1,11.52,11.9,1,14.04,False,False,False,None,39.02
